Track Name,Artist,Genres
Put It on Me,Frankie Stew and Harvey Gunn,uk alternative hip hop
B.O.T.A. (Baddest Of Them All) - Edit,Eliza Rose,house
Bul Beni,Sedef Sebüktekin,"turkish alt pop, turkish rock"
Colors,Black Pumas,retro soul
Hotel California - 2013 Remaster,Eagles,"album rock, classic rock, heartland rock, mellow gold, rock, soft rock, yacht rock"
Drive Slow,Kanye West,"chicago rap, hip hop, rap"
Those Eyes,New West,toronto indie
The Darkness That You Fear,The Chemical Brothers,"alternative dance, big beat, breakbeat, electronica, rave, trip hop"
Black (feat. Norah Jones),Danger Mouse,"alternative hip hop, mashup"
Young Folks,Peter Bjorn and John,"alternative dance, baroque pop, dance-punk, indie rock, modern rock, new rave, swedish alternative rock, swedish indie pop"
Chamber Of Reflection,Mac DeMarco,"edmonton indie, lo-fi indie, pov: indie, slacker rock"
Eu Sou O Mestre Dos Magos,DJ GRZS,"funk mandelao, funk mtg"
Bad Habit,Steve Lacy,afrofuturism
Champagne Coast,Blood Orange,"alternative r&b, art pop, escape room, indie soul, indietronica, metropopolis"
The Beat Goes On,Beady Eye,britpop
Agitations tropicales,L'Impératrice,"french indie pop, french indietronica, french synthpop"
Vanille fraise,L'Impératrice,"french indie pop, french indietronica, french synthpop"
LONDON (feat. J. Cole),BIA,"rap latina, trap queen"
Cherry,Lana Del Rey,"art pop, pop"
agony,*:･ﾟ✧*:･ﾟ✧ .・゜゜・,Unknown
Canary Islands,Goth Babe,"indie rock, pov: indie"
Sometimes,Goth Babe,"indie rock, pov: indie"
Miss You,southstar,pop dance
Madan (King),Bakermat,"minimal tech house, tropical house"
Ain't No Sunshine,Bill Withers,"classic soul, funk, quiet storm, soul"
Morning Coffee,Jack Davies and The Bush Chooks,fremantle indie
Drank & Drugs,Lil Kleine,"dutch hip hop, dutch rap pop"
Bulletproof,La Roux,"alternative dance, electropop, indietronica, neo-synthpop"
Power,Interupt,bassline
Sweater Weather,Jomarijan,gym hardstyle
Didn't I,Darondo,"afrobeat, classic soul, funk"
Nosebleed Seats,Vansire,"bedroom pop, rochester mn indie"
saw u in a dream,tyke james,Unknown
Aces,dkj,Unknown
Snowshoes,Caamp,"indie folk, stomp and holler"
Ruby Fields,Sarah and the Sundays,connecticut indie
1977,Ana Tijoux,"chilean rock, latin alternative, latintronica, rap chileno, rap feminino chileno, rap latina, rap politico"
Smthng,Muddy Monk,"french indie pop, french indietronica"
Surfing in Iceland,Goth Babe,"indie rock, pov: indie"
Santa Cruz Tomorrow,French Cassettes,Unknown
